DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M650,2008,215,6,5.1,4.2,33,56.7,5.6,34.4,65.6,,,,,,41.8,46.3,10.4
01M650,2009,226,4,3.1,3.5,39.4,52.7,3.1,38.5,61.5,,,,,,32.6,56.8,7.4
01M650,2010,202,4,6.9,2.5,43.1,49,5,46,54,,,,,,55.1,38.2,6.7
01M650,2011,218,3.2,6.9,0.5,45.4,49.5,4.1,39.9,60.1,,,,,,,,
01M696,2005,513,0.2,0.2,12.3,19.9,18.7,36.1,25.1,74.9,,,,,,94.1,4.2,1.7
01M696,2006,546,0,0.2,10.8,18.3,17.6,37.5,28.2,71.8,,,,,,94.5,5.5,0
01M696,2007,543,0,0.2,10.7,17.5,17.1,37.6,31.3,68.7,,,,,,97.6,1.6,0.8
01M696,2008,575,0,0.5,13.2,17.7,18.8,41.6,33,67,,,,,,92.3,6.8,0.9
01M696,2009,584,,0.5,12.7,16.1,17.1,44.2,33.9,66.1,,,,,,93,6.1,0.9
01M696,2010,588,0.3,0.7,14.8,14.3,16.2,53.2,31.8,68.2,,,,,,97.8,1.4,0.7
01M696,2011,617,0.2,0.8,15.1,15.1,18.2,49.8,31.3,68.7,,,,,,,,
01M839,2005,221,4.5,15.8,15.4,15.4,50.7,15.8,48.9,51.1,,,,,,,,
01M839,2006,334,6.9,17.1,24,15.3,45.2,14.1,48.5,51.5,7.8,31.3,54.8,6,60.8,,,
01M839,2007,364,6,18.7,25,14.3,44.5,15.7,51.9,48.1,3.4,16.6,61.3,18.8,80,,,
01M839,2008,377,4.2,21.2,26.5,12.2,43.8,16.2,51.7,48.3,1.5,9.1,56,33.4,89.4,,,
01M839,2009,380,5,24.5,25.8,12.4,44.5,15,51.6,48.4,2.9,8,54.7,34.4,89.1,,,
01M839,2010,389,7.5,24.7,23.7,11.8,47.6,14.7,49.4,50.6,3.7,21.5,42.2,32.6,74.8,,,
01M839,2011,384,6,22.1,22.1,16.7,41.7,16.4,44.5,55.5,3.9,25.8,40.4,29.8,70.2,,,
02M001,2005,611,23.4,11.1,72.5,10.6,13.9,1.6,51.4,48.6,,,,,,,,
02M001,2006,604,28.5,11.8,73,10.8,12.9,1.7,53.1,46.9,6.9,11.4,47.2,34.5,81.7,,,
02M001,2007,567,35.6,11.8,69.5,11.1,16.2,1.8,54.3,45.7,2.6,7.3,47.6,42.5,90.1,,,
02M001,2008,556,31.8,12.4,68.9,11.7,16.2,1.4,56.7,43.3,3,4.3,45.2,47.4,92.6,,,
